x,y,roadname,direction,meter,offset,mark
31880.657,388033.731,A58,R,135.340,14.033;14.033,SENSOR;SENSOR
31645.455,387494.778,A58,R,135.930,16.667,SENSOR
31639.351,387486.871,A58,R,135.940,9.647,EXIT
31186.500,387133.711,A58,R,136.520,4.453,SENSOR
31160.079,387119.500,A58,R,136.550,15.930,SENSOR
31116.030,387095.844,A58,R,136.600,9.022,ENTER
30557.394,386834.593,A58,R,137.220,,END
27426.217,375438.019,A58,R,137.220,,BEGIN
27426.065,375418.020,A58,R,137.240,,END
27006.169,375141.319,A58,R,137.240,,BEGIN
26971.849,375120.772,A58,R,137.280,,END
