x	y	roadname	direction	meter	mark
157921.138	380719.153	A2	R	117.890	LUS
157929.719	380629.563	A2	R	117.980	OPRIT
157946.917	380470.507	A2	R	118.140	LUS
157948.164	380460.585	A2	R	118.150	LUS
157985.172	380152.816	A2	R	118.460	LUS
157989.475	380113.048	A2	R	118.500	LUS
158046.059	379811.127	A2	R	118.810	LUS, LUS, LUS
158132.735	379670.509	A2	R	118.980	LUS
158208.385	379605.110	A2	R	119.080	LUS
158656.993	379536.829	A2	R	119.550	LUS, LUS, LUS
158666.914	379538.081	A2	R	119.560	LUS, LUS, LUS, LUS
159025.468	379568.005	A2	R	119.920	AFRIT
159075.410	379570.412	A2	R	119.970	LUS, LUS, LUS, LUS, LUS, LUS
159085.405	379570.738	A2	R	119.980	LUS
159455.247	379581.452	A2	R	120.350	LUS, LUS, OPRIT
159925.075	379593.971	A2	R	120.820	LUS
160015.047	379596.246	A2	R	120.910	LUS
160314.910	379605.260	A2	R	121.210	LUS
160364.890	379606.686	A2	R	121.260	LUS
160494.872	379608.371	A2	R	121.390	LUS
160714.852	379606.572	A2	R	121.610	LUS
160724.851	379606.412	A2	R	121.620	LUS
161054.601	379593.723	A2	R	121.950	LUS
161264.341	379583.291	A2	R	122.160	AFRIT
161444.123	379574.456	A2	R	122.340	LUS
161573.921	379567.209	A2	R	122.470	LUS, LUS, LUS
161753.641	379557.176	A2	R	122.650	OPRIT
161793.582	379554.996	A2	R	122.690	LUS
162083.313	379542.555	A2	R	122.980	LUS, LUS, LUS, LUS, LUS, LUS
162412.882	379525.965	A2	R	123.310	LUS, LUS, LUS
162889.954	379335.656	A2	R	123.830	LUS
163152.045	378976.348	A2	R	124.280	LUS
163223.863	378779.592	A2	R	124.490	LUS
163231.981	378750.711	A2	R	124.520	OPRIT
163248.218	378692.950	A2	R	124.580	LUS
163324.046	378413.042	A2	R	124.870	LUS
163393.888	378152.232	A2	R	125.140	LUS, LUS, LUS, LUS
163396.575	378142.600	A2	R	125.150	LUS, LUS, LUS
163485.046	377814.313	A2	R	125.490	LUS
163487.638	377804.655	A2	R	125.500	LUS
163574.908	377476.047	A2	R	125.840	LUS
163577.454	377466.376	A2	R	125.850	LUS
163672.706	377140.152	A2	R	126.190	LUS, LUS, LUS
163675.834	377130.653	A2	R	126.200	LUS, LUS, LUS, LUS
163823.501	376813.707	A2	R	126.550	LUS, LUS
164000.887	376511.990	A2	R	126.900	LUS, LUS
164172.806	376218.663	A2	R	127.240	LUS
164177.914	376210.066	A2	R	127.250	LUS
164357.210	375909.479	A2	R	127.600	LUS, LUS
164530.680	375617.063	A2	R	127.940	LUS
164540.900	375599.871	A2	R	127.960	LUS
164712.040	375317.718	A2	R	128.290	LUS
164717.247	375309.181	A2	R	128.300	LUS
164891.113	375017.001	A2	R	128.640	LUS
164896.202	375008.393	A2	R	128.650	LUS
165044.176	374758.986	A2	R	128.940	LUS
165054.384	374741.787	A2	R	128.960	LUS
165197.681	374501.235	A2	R	129.240	LUS, LUS
165458.112	374062.743	A2	R	129.750	LUS, LUS, LUS
165463.204	374054.137	A2	R	129.760	LUS, LUS, LUS, LUS, LUS
165654.692	373714.436	A2	R	130.150	LUS
165659.326	373705.575	A2	R	130.160	LUS
165696.396	373634.682	A2	R	130.240	AFRIT
165766.031	373501.825	A2	R	130.390	LUS, LUS, LUS
165855.297	373345.718	A2	R	130.570	LUS, LUS, LUS
166008.754	373137.054	A2	R	130.830	OPRIT
166043.596	373101.192	A2	R	130.880	LUS, LUS
